State,2022 Population Estimate,Region,Total doses distributed,Total doses administered by jurisdiction,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with a completed primary series,Residents 65+ with at least one dose,Residents 65+ with a completed primary series,Residents 12+ with at least one dose,Residents 12+ with a completed primary series,Residents 5+ with at least one dose,Residents 5+ with a completed primary series,Data As Of,Start Date,End Date,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
Massachusetts,6981974,Northeast,23747420,18179748,7393770,95.0,5087207,1549552,1229041,6947787,5480791,7306432,5770765,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,21286.0,240422.0,8700.0
New Jersey,9261699,Northeast,29637655,19826065,8430561,94.9,6195423,1686625,1439157,8011957,6701732,8374653,7008596,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,35691.0,312963.0,17287.0
Pennsylvania,12972008,Northeast,42895735,27586432,11666613,91.1,8447352,2919117,2445124,11109272,9003735,11562144,9373738,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,53049.0,557522.0,22981.0
Illinois,12582032,Midwest,38328915,26859342,10036899,79.2,7874806,2011136,1865350,9419010,8534152,9928857,8988132,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,38724.0,446027.0,19882.0
Michigan,10034113,Midwest,29638290,18769116,6979192,69.9,5615530,1756102,1615024,6654690,5984396,6921128,6221234,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,37102.0,412252.0,18475.0
Ohio,11756058,Midwest,31703485,21104771,7707458,65.9,6367505,1939194,1834185,7345998,6787142,7639577,7048249,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,49729.0,517794.0,24089.0
Georgia,10912876,South,28727475,17124791,7287758,68.6,5494615,1494072,1315992,6998957,5894565,7248684,6085428,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,36499.0,384074.0,18689.0
North Carolina,10698973,South,30278310,19434544,9456334,90.2,6316324,2366178,1811611,9047747,6737636,9392711,6987602,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,34383.0,417304.0,18048.0
Tennessee,7051339,South,17172490,11323319,4413541,64.6,3528315,1082135,992506,4264391,3737837,4391102,3843432,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,30408.0,330056.0,15597.0
Virginia,8683619,South,26823665,19608172,7794449,91.3,5701220,1565047,1329147,7327103,6182123,7712390,6507230,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,23148.0,301033.0,9805.0
Arizona,7359197,West,19959120,14647405,5704677,78.4,4239941,1348446,1188267,5394242,4596164,5663049,4805903,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,30307.0,284393.0,17435.0
Washington,7785786,West,25606455,17723480,6517326,85.6,5095049,1298687,1188410,6122611,5484930,6428635,5755895,09/27/2023,01/01/2020,09/23/2023,All Sexes,All Ages,15078.0,246807.0,8830.0
