Data As Of,State,Start Date,End Date,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Alabama,01/01/2020,09/23/2023,All Sexes,All Ages,21520.0,231602.0,7411.0
09/27/2023,Alaska,01/01/2020,09/23/2023,All Sexes,All Ages,1492.0,20039.0,813.0
09/27/2023,Arizona,01/01/2020,09/23/2023,All Sexes,All Ages,30307.0,284393.0,17435.0
09/27/2023,Arkansas,01/01/2020,09/23/2023,All Sexes,All Ages,12663.0,140174.0,6060.0
09/27/2023,California,01/01/2020,09/23/2023,All Sexes,All Ages,109248.0,1178346.0,62152.0
09/27/2023,Colorado,01/01/2020,09/23/2023,All Sexes,All Ages,15378.0,176094.0,7850.0
09/27/2023,Connecticut,01/01/2020,09/23/2023,All Sexes,All Ages,12571.0,130502.0,4082.0
09/27/2023,Delaware,01/01/2020,09/23/2023,All Sexes,All Ages,3445.0,41037.0,1683.0
09/27/2023,Florida,01/01/2020,09/23/2023,All Sexes,All Ages,81894.0,915140.0,50161.0
09/27/2023,Georgia,01/01/2020,09/23/2023,All Sexes,All Ages,36499.0,384074.0,18689.0
09/27/2023,Hawaii,01/01/2020,09/23/2023,All Sexes,All Ages,1943.0,47252.0,977.0
09/27/2023,Idaho,01/01/2020,09/23/2023,All Sexes,All Ages,5610.0,63400.0,2828.0
09/27/2023,Illinois,01/01/2020,09/23/2023,All Sexes,All Ages,38724.0,446027.0,19882.0
09/27/2023,Indiana,01/01/2020,09/23/2023,All Sexes,All Ages,26885.0,282262.0,13954.0
09/27/2023,Iowa,01/01/2020,09/23/2023,All Sexes,All Ages,11026.0,125759.0,4065.0
09/27/2023,Kansas,01/01/2020,09/23/2023,All Sexes,All Ages,10152.0,112874.0,4487.0
09/27/2023,Kentucky,01/01/2020,09/23/2023,All Sexes,All Ages,20274.0,209080.0,10272.0
09/27/2023,Louisiana,01/01/2020,09/23/2023,All Sexes,All Ages,17722.0,199509.0,8882.0
09/27/2023,Maine,01/01/2020,09/23/2023,All Sexes,All Ages,3235.0,61645.0,872.0
09/27/2023,Maryland,01/01/2020,09/23/2023,All Sexes,All Ages,18143.0,209247.0,7256.0
09/27/2023,Massachusetts,01/01/2020,09/23/2023,All Sexes,All Ages,21286.0,240422.0,8700.0
09/27/2023,Michigan,01/01/2020,09/23/2023,All Sexes,All Ages,37102.0,412252.0,18475.0
09/27/2023,Minnesota,01/01/2020,09/23/2023,All Sexes,All Ages,15298.0,188637.0,5610.0
09/27/2023,Mississippi,01/01/2020,09/23/2023,All Sexes,All Ages,14955.0,139919.0,7469.0
09/27/2023,Missouri,01/01/2020,09/23/2023,All Sexes,All Ages,23363.0,273827.0,11052.0
09/27/2023,Montana,01/01/2020,09/23/2023,All Sexes,All Ages,3961.0,44283.0,1999.0
09/27/2023,Nebraska,01/01/2020,09/23/2023,All Sexes,All Ages,5815.0,70422.0,2493.0
09/27/2023,Nevada,01/01/2020,09/23/2023,All Sexes,All Ages,12259.0,117594.0,9210.0
09/27/2023,New Hampshire,01/01/2020,09/23/2023,All Sexes,All Ages,3112.0,51581.0,1155.0
09/27/2023,New Jersey,01/01/2020,09/23/2023,All Sexes,All Ages,35691.0,312963.0,17287.0
09/27/2023,New Mexico,01/01/2020,09/23/2023,All Sexes,All Ages,8963.0,84955.0,4876.0
09/27/2023,New York,01/01/2020,09/23/2023,All Sexes,All Ages,80440.0,667846.0,31870.0
09/27/2023,North Carolina,01/01/2020,09/23/2023,All Sexes,All Ages,34383.0,417304.0,18048.0
09/27/2023,North Dakota,01/01/2020,09/23/2023,All Sexes,All Ages,3101.0,29913.0,1621.0
09/27/2023,Ohio,01/01/2020,09/23/2023,All Sexes,All Ages,49729.0,517794.0,24089.0
09/27/2023,Oklahoma,01/01/2020,09/23/2023,All Sexes,All Ages,18520.0,171792.0,8103.0
09/27/2023,Oregon,01/01/2020,09/23/2023,All Sexes,All Ages,9232.0,158968.0,3707.0
09/27/2023,Pennsylvania,01/01/2020,09/23/2023,All Sexes,All Ages,53049.0,557522.0,22981.0
09/27/2023,Rhode Island,01/01/2020,09/23/2023,All Sexes,All Ages,4083.0,42462.0,1764.0
09/27/2023,South Carolina,01/01/2020,09/23/2023,All Sexes,All Ages,20842.0,224379.0,8778.0
09/27/2023,South Dakota,01/01/2020,09/23/2023,All Sexes,All Ages,3472.0,34467.0,1592.0
09/27/2023,Tennessee,01/01/2020,09/23/2023,All Sexes,All Ages,30408.0,330056.0,15597.0
09/27/2023,Texas,01/01/2020,09/23/2023,All Sexes,All Ages,104421.0,931558.0,58265.0
09/27/2023,Utah,01/01/2020,09/23/2023,All Sexes,All Ages,5867.0,83772.0,2808.0
09/27/2023,Vermont,01/01/2020,09/23/2023,All Sexes,All Ages,976.0,23816.0,321.0
09/27/2023,Virginia,01/01/2020,09/23/2023,All Sexes,All Ages,23148.0,301033.0,9805.0
09/27/2023,Washington,01/01/2020,09/23/2023,All Sexes,All Ages,15078.0,246807.0,8830.0
09/27/2023,West Virginia,01/01/2020,09/23/2023,All Sexes,All Ages,8339.0,98692.0,4281.0
09/27/2023,Wisconsin,01/01/2020,09/23/2023,All Sexes,All Ages,17064.0,223540.0,6022.0
09/27/2023,Wyoming,01/01/2020,09/23/2023,All Sexes,All Ages,1855.0,20597.0,969.0
