,state_name,population
0,Alabama,4328748
1,Alaska,752125
2,Arizona,9668452
3,Arkansas,2689595
4,California,58326433
5,Colorado,7421532
6,Connecticut,4262191
7,Delaware,509996
8,Florida,30776244
9,Georgia,10555897
10,Hawaii,1917481
11,Idaho,1717935
12,Illinois,18110364
13,Indiana,6184874
14,Iowa,3251511
15,Kansas,2583956
16,Kentucky,3165042
17,Louisiana,4694908
18,Maine,594776
19,Maryland,7344263
20,Massachusetts,8083801
21,Michigan,10175107
22,Minnesota,7245019
23,Mississippi,2032957
24,Missouri,7484569
25,Montana,787282
26,Nebraska,1888738
27,Nevada,4645087
28,New Hampshire,805252
29,New Jersey,6173614
30,New Mexico,2059958
31,New York,37146680
32,North Carolina,9149649
33,North Dakota,713703
34,Ohio,13642824
35,Oklahoma,3770514
36,Oregon,5131915
37,Pennsylvania,14865747
38,Puerto Rico,4245787
39,Rhode Island,1719600
40,South Carolina,4718222
41,South Dakota,709863
42,Tennessee,6130878
43,Texas,33378026
44,Utah,5085280
45,Vermont,250448
46,Virginia,8268006
47,Washington,10022453
48,West Virginia,1226084
49,Wisconsin,5815545
50,Wyoming,471073
